state,district,date,population
Andaman and Nicobar Islands,Andaman and Nicobar Islands - Other,12-08-2021,
Andaman and Nicobar Islands,Nicobars,12-08-2021,36842
Andaman and Nicobar Islands,North and Middle Andaman,12-08-2021,105597
Andaman and Nicobar Islands,South Andaman,12-08-2021,238142
Andhra Pradesh,Anantapur,12-08-2021,4083315
Andhra Pradesh,Chittoor,12-08-2021,4170468
Andhra Pradesh,East Godavari,12-08-2021,5151549
Andhra Pradesh,Foreign Evacuees,12-08-2021,
Andhra Pradesh,Guntur,12-08-2021,4889230
Andhra Pradesh,Krishna,12-08-2021,4529009
Andhra Pradesh,Kurnool,12-08-2021,4046601
Andhra Pradesh,Other State - AP,12-08-2021,
Andhra Pradesh,Prakasam,12-08-2021,3392764
Andhra Pradesh,S.P.S. Nellore,12-08-2021,2966082
Andhra Pradesh,Srikakulam,12-08-2021,2699471
Andhra Pradesh,Visakhapatnam,12-08-2021,4288113
Andhra Pradesh,Vizianagaram,12-08-2021,2342868
Andhra Pradesh,West Godavari,12-08-2021,3934782
Andhra Pradesh,Y.S.R. Kadapa,12-08-2021,2884524
Arunachal Pradesh,Anjaw,12-08-2021,21089
Arunachal Pradesh,Capital Complex,12-08-2021,0
Arunachal Pradesh,Changlang,12-08-2021,147951
Arunachal Pradesh,East Kameng,12-08-2021,78413
Arunachal Pradesh,East Siang,12-08-2021,99019
Arunachal Pradesh,Kamle,12-08-2021,22256
Arunachal Pradesh,Kra Daadi,12-08-2021,0
Arunachal Pradesh,Kurung Kumey,12-08-2021,89717
Arunachal Pradesh,Lepa Rada,12-08-2021,0
Arunachal Pradesh,Lohit,12-08-2021,145538
Arunachal Pradesh,Longding,12-08-2021,60000
Arunachal Pradesh,Lower Dibang Valley,12-08-2021,53986
Arunachal Pradesh,Lower Siang,12-08-2021,80597
Arunachal Pradesh,Lower Subansiri,12-08-2021,82839
Arunachal Pradesh,Namsai,12-08-2021,95950
Arunachal Pradesh,Pakke Kessang,12-08-2021,0
Arunachal Pradesh,Papum Pare,12-08-2021,176385
Arunachal Pradesh,Shi Yomi,12-08-2021,13310
Arunachal Pradesh,Siang,12-08-2021,31920
Arunachal Pradesh,Tawang,12-08-2021,49950
Arunachal Pradesh,Tirap,12-08-2021,111997
Arunachal Pradesh,Upper Dibang Valley,12-08-2021,7948
Arunachal Pradesh,Upper Siang,12-08-2021,35289
Arunachal Pradesh,Upper Subansiri,12-08-2021,83205
Arunachal Pradesh,West Kameng,12-08-2021,87013
Arunachal Pradesh,West Siang,12-08-2021,112272
Assam,Assam - Other,12-08-2021,
Assam,Baksa,12-08-2021,953773
Assam,Barpeta,12-08-2021,1693190
Assam,Biswanath,12-08-2021,612491
Assam,Bongaigaon,12-08-2021,732639
Assam,Cachar,12-08-2021,1736319
Assam,Charaideo,12-08-2021,
Assam,Chirang,12-08-2021,481818
Assam,Darrang,12-08-2021,908090
Assam,Dhemaji,12-08-2021,688077
Assam,Dhubri,12-08-2021,1948632
Assam,Dibrugarh,12-08-2021,1327748
Assam,Dima Hasao,12-08-2021,213529
Assam,Goalpara,12-08-2021,1008959
Assam,Golaghat,12-08-2021,1058674
Assam,Hailakandi,12-08-2021,659260
Assam,Hojai,12-08-2021,931218
Assam,Jorhat,12-08-2021,1091295
Assam,Kamrup,12-08-2021,1517202
Assam,Kamrup Metropolitan,12-08-2021,1260419
Assam,Karbi Anglong,12-08-2021,965280
Assam,Karimganj,12-08-2021,1217002
Assam,Kokrajhar,12-08-2021,886999
Assam,Lakhimpur,12-08-2021,1040644
Assam,Majuli,12-08-2021,167304
Assam,Morigaon,12-08-2021,957853
Assam,Nagaon,12-08-2021,2826006
Assam,Nalbari,12-08-2021,769919
Assam,Sivasagar,12-08-2021,1150253
Assam,Sonitpur,12-08-2021,1925975
Assam,South Salmara Mankachar,12-08-2021,555114
Assam,Tinsukia,12-08-2021,1316948
Assam,Udalguri,12-08-2021,832769
Assam,West Karbi Anglong,12-08-2021,300320
