state,date,population
Andaman and Nicobar Islands,12-08-2021,397000
Andhra Pradesh,12-08-2021,52221000
Arunachal Pradesh,12-08-2021,1504000
Assam,12-08-2021,34293000
Bihar,12-08-2021,119520000
Chandigarh,12-08-2021,1179000
Chhattisgarh,12-08-2021,28724000
Delhi,12-08-2021,19814000
Dadra and Nagar Haveli and Daman and Diu,12-08-2021,959000
Goa,12-08-2021,1540000
Gujarat,12-08-2021,67936000
Himachal Pradesh,12-08-2021,7300000
Haryana,12-08-2021,28672000
Jharkhand,12-08-2021,37403000
Jammu and Kashmir,12-08-2021,13203000
Karnataka,12-08-2021,65798000
Kerala,12-08-2021,35125000
Ladakh,12-08-2021,293000
Lakshadweep,12-08-2021,68000
Maharashtra,12-08-2021,122153000
Meghalaya,12-08-2021,3224000
Manipur,12-08-2021,3103000
Madhya Pradesh,12-08-2021,82232000
Mizoram,12-08-2021,1192000
Nagaland,12-08-2021,2150000
Odisha,12-08-2021,43671000
Punjab,12-08-2021,29859000
Puducherry,12-08-2021,1504000
Rajasthan,12-08-2021,77264000
Sikkim,12-08-2021,664000
Telangana,12-08-2021,37220000
Tamil Nadu,12-08-2021,75695000
Tripura,12-08-2021,3992000
India,12-08-2021,1332900000
Uttar Pradesh,12-08-2021,224979000
Uttarakhand,12-08-2021,11141000
West Bengal,12-08-2021,96906000
