Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
43860,1,1,0,0,0,0
43861,0,1,0,0,0,0
43862,0,1,0,0,0,0
43863,1,2,0,0,0,0
43864,1,3,0,0,0,0
43865,0,3,0,0,0,0
43866,0,3,0,0,0,0
43867,0,3,0,0,0,0
43868,0,3,0,0,0,0
43869,0,3,0,0,0,0
43870,0,3,0,0,0,0
43871,0,3,0,0,0,0
43872,0,3,0,0,0,0
43873,0,3,0,0,0,0
43874,0,3,1,1,0,0
43875,0,3,0,1,0,0
43876,0,3,0,1,0,0
43877,0,3,1,2,0,0
43878,0,3,0,2,0,0
43879,0,3,0,2,0,0
43880,0,3,0,2,0,0
43881,0,3,1,3,0,0
43882,0,3,0,3,0,0
43883,0,3,0,3,0,0
43884,0,3,0,3,0,0
43885,0,3,0,3,0,0
43886,0,3,0,3,0,0
43887,0,3,0,3,0,0
43888,0,3,0,3,0,0
43889,0,3,0,3,0,0
43890,0,3,0,3,0,0
43891,0,3,0,3,0,0
43892,2,5,0,3,0,0
43893,1,6,0,3,0,0
43894,22,28,0,3,0,0
43895,2,30,0,3,0,0
43896,1,31,0,3,0,0
43897,3,34,0,3,0,0
43898,5,39,0,3,0,0
43899,9,48,0,3,0,0
43900,15,63,1,4,0,0
43901,8,71,0,4,0,0
43902,10,81,0,4,1,1
43903,10,91,6,10,0,1
43904,11,102,0,10,1,2
43905,10,112,3,13,0,2
43906,14,126,1,14,0,2
43907,20,146,1,15,1,3
43908,25,171,0,15,0,3
43909,27,198,5,20,1,4
43910,58,256,3,23,0,4
43911,78,334,0,23,0,4
43912,69,403,0,23,3,7
43913,94,497,2,25,2,9
43914,74,571,15,40,1,10
43915,86,657,3,43,1,11
43916,73,730,7,50,5,16
43917,153,883,25,75,3,19
43918,136,1019,10,85,5,24
43919,120,1139,17,102,3,27
43920,187,1326,35,137,14,41
43921,309,1635,13,150,6,47
43922,424,2059,19,169,6,53
43923,486,2545,22,191,16,69
43924,560,3105,39,230,14,83
43925,579,3684,56,286,13,96
43926,609,4293,43,329,22,118
43927,484,4777,65,394,16,134
43928,573,5350,75,469,27,161
43929,565,5915,96,565,20,181
43930,813,6728,70,635,46,227
43931,871,7599,151,786,22,249
43932,854,8453,186,972,41,290
43933,758,9211,114,1086,42,332
43934,1243,10454,112,1198,27,359
43935,1031,11485,167,1365,37,396
43936,886,12371,144,1509,27,423
43937,1061,13432,258,1767,26,449
43938,922,14354,273,2040,38,487
43939,1371,15725,426,2466,35,522
