date,total.confirmed,district,state,total.deceased,total.recovered,delta.confirmed,delta.deceased,delta.recovered,delta.tested,total.tested,delta.other,total.other,levitt.Metric,MA.21.daily.tests,delta.positivity,MA.21.delta.positivity,delta.percent.case.growth,delta.hospitalized,total.hospitalized,delta.active,spline.active,spline.deceased,spline.hospitalized,spline.recovered,delta.tested.non.impu,delta.confirmed.non.impu,delta.deceased.non.impu,delta.recovered.non.impu,delta.other.non.impu,total.tested.non.impu,total.confirmed.non.impu,total.recovered.non.impu,total.deceased.non.impu,total.other.non.impu,delta.active.non.impu,MA.21.daily.active.non.impu,MA.21.daily.deceased.non.impu,MA.21.daily.recovered.non.impu
2020-04-20,46.0,Mumbai,MH,2.0,9.0,46.0,2.0,9.0,5586.0,5586.0,0.0,0.0,,,0.8234872896527032,,,6.830615360837075,6.830615360837075,35.0,35.0,2.0,6.830615360837075,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-04-21,92.0,Mumbai,MH,4.0,18.0,46.0,2.0,9.0,5586.0,11172.0,0.0,0.0,0.6931471805599453,,0.8234872896527032,,0.0,6.830615360837075,13.66123072167415,70.0,70.0,2.0,6.830615360837075,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-04-22,138.0,Mumbai,MH,6.0,27.0,46.0,2.0,9.0,5586.0,16758.0,0.0,0.0,0.4054651081081644,,0.8234872896527032,,0.0,6.830615360837075,20.491846082511223,105.0,105.0,2.0,6.830615360837075,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-04-23,184.0,Mumbai,MH,8.0,36.0,46.0,2.0,9.0,5586.0,22344.0,0.0,0.0,0.28768207245178085,,0.8234872896527032,,0.0,6.830615360837075,27.3224614433483,140.0,140.0,2.0,6.830615360837075,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-04-24,230.0,Mumbai,MH,10.0,45.0,46.0,2.0,9.0,5586.0,27930.0,0.0,0.0,0.22314355131420976,,0.8234872896527032,,0.0,6.830615360837075,34.153076804185375,175.0,175.0,2.0,6.830615360837075,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-04-25,276.0,Mumbai,MH,12.0,54.0,46.0,2.0,9.0,5586.0,33516.0,0.0,0.0,0.1823215567939546,,0.8234872896527032,,0.0,6.830615360837075,40.98369216502245,210.0,210.0,2.0,6.830615360837075,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-04-26,322.0,Mumbai,MH,14.0,63.0,46.0,2.0,9.0,5586.0,39102.0,0.0,0.0,0.15415067982725836,,0.8234872896527032,,0.0,6.830615360837075,47.81430752585952,245.0,245.0,2.0,6.830615360837075,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-04-27,368.0,Mumbai,MH,16.0,72.0,46.0,2.0,9.0,5586.0,44688.0,0.0,0.0,0.13353139262452257,,0.8234872896527032,,0.0,6.830615360837075,54.64492288669659,280.0,280.0,2.0,6.830615360837075,9.0,0.0,369.0,15.0,70.0,0.0,0.0,369.0,70.0,15.0,0.0,284.0,,,
2020-04-28,761.0,Mumbai,MH,41.0,159.0,393.0,25.0,87.0,5586.0,50274.0,0.0,0.0,0.9409833444645266,,7.035445757250268,,7.5434782608695645,58.357213843673264,113.00213673036986,561.0,561.0,25.0,58.357213843673264,87.0,0.0,393.0,25.0,87.0,0.0,0.0,762.0,157.0,40.0,0.0,565.0,,,
2020-04-29,1236.0,Mumbai,MH,67.0,297.0,475.0,26.0,138.0,5586.0,55860.0,0.0,0.0,0.4911205526866582,,8.503401360544217,,0.20865139949109412,70.53352818255675,183.53566491292662,872.0,872.0,26.0,70.53352818255675,138.0,0.0,475.0,26.0,138.0,0.0,0.0,1237.0,295.0,66.0,0.0,876.0,,,
2020-04-30,1653.0,Mumbai,MH,87.0,453.0,417.0,20.0,156.0,5586.0,61446.0,0.0,0.0,0.26121549926361765,,7.465091299677766,,-0.12210526315789472,61.92101316237087,245.45667807529748,1113.0,1113.0,20.0,61.92101316237087,156.0,0.0,417.0,20.0,156.0,0.0,0.0,1654.0,451.0,86.0,0.0,1117.0,,,
2020-05-01,2404.0,Mumbai,MH,93.0,495.0,751.0,6.0,42.0,5586.0,67032.0,0.0,0.0,0.06669137449867214,,13.444325098460435,,0.8009592326139088,111.5172203475792,356.9738984228767,1816.0,1816.0,6.0,111.5172203475792,42.0,0.0,751.0,6.0,42.0,0.0,0.0,2405.0,493.0,92.0,0.0,1820.0,,,
2020-05-02,2951.0,Mumbai,MH,119.0,564.0,547.0,26.0,69.0,5586.0,72618.0,0.0,0.0,0.24652399995827343,,9.792337987826711,,-0.2716378162450066,81.22492613864956,438.19882456152624,2268.0,2268.0,26.0,81.22492613864956,69.0,0.0,547.0,26.0,69.0,0.0,0.0,2952.0,562.0,118.0,0.0,2272.0,,,
2020-05-03,3392.0,Mumbai,MH,140.0,591.0,441.0,21.0,27.0,5586.0,78204.0,0.0,0.0,0.16251892949777494,,7.894736842105263,,-0.19378427787934183,65.48481248106847,503.6836370425947,2661.0,2661.0,21.0,65.48481248106847,27.0,0.0,441.0,21.0,27.0,0.0,0.0,3393.0,589.0,139.0,0.0,2665.0,,,
2020-05-04,3902.0,Mumbai,MH,158.0,756.0,510.0,18.0,165.0,5586.0,83790.0,0.0,0.0,0.12095261041766249,,9.129967776584317,,0.15646258503401356,75.73073552232408,579.4143725649187,2988.0,2988.0,18.0,75.73073552232408,165.0,0.0,510.0,18.0,165.0,0.0,0.0,3903.0,754.0,157.0,0.0,2992.0,,,
2020-05-05,4537.0,Mumbai,MH,184.0,966.0,635.0,26.0,210.0,5586.0,89376.0,0.0,0.0,0.1523407245820188,,11.367704976727532,,0.2450980392156863,94.29219030720743,673.7065628721261,3387.0,3387.0,26.0,94.29219030720743,210.0,0.0,635.0,26.0,210.0,0.0,0.0,4538.0,964.0,183.0,0.0,3391.0,,,
2020-05-06,5306.0,Mumbai,MH,209.0,1055.0,769.0,25.0,89.0,5586.0,94962.0,0.0,0.0,0.12739849435582543,,13.766559255281061,,0.21102362204724412,114.19006983660239,787.8966327087285,4042.0,4042.0,25.0,114.19006983660239,89.0,0.0,769.0,25.0,89.0,0.0,0.0,5307.0,1053.0,208.0,0.0,4046.0,,,
2020-05-07,5986.0,Mumbai,MH,234.0,1154.0,680.0,25.0,99.0,5586.0,100548.0,0.0,0.0,0.11298686339289049,,12.17329036877909,,-0.11573472041612487,100.97431402976545,888.8709467384939,4598.0,4598.0,25.0,100.97431402976545,99.0,0.0,680.0,25.0,99.0,0.0,0.0,5987.0,1152.0,233.0,0.0,4602.0,,,
2020-05-08,6734.0,Mumbai,MH,259.0,1228.0,748.0,25.0,74.0,5586.0,106134.0,0.0,0.0,0.10150694634183638,,13.390619405657,,0.10000000000000009,111.07174543274199,999.9426921712359,5247.0,5247.0,25.0,111.07174543274199,74.0,0.0,748.0,25.0,74.0,0.0,0.0,6735.0,1226.0,258.0,0.0,5251.0,,,
2020-05-09,7456.0,Mumbai,MH,286.0,1442.0,722.0,27.0,214.0,5586.0,111720.0,0.0,0.0,0.09916374912031485,,12.925170068027212,,-0.03475935828877008,107.21096283748625,1107.1536550087221,5728.0,5728.0,27.0,107.21096283748625,214.0,0.0,722.0,27.0,0.0,0.0,0.0,7457.0,1226.0,285.0,0.0,5946.0,,,
