date,total.confirmed,district,state,total.deceased,total.recovered,delta.confirmed,delta.deceased,delta.recovered,delta.tested,total.tested,delta.other,total.other
2020-01-30,,Mumbai,MH,,,,,,,,,
2020-02-02,,Mumbai,MH,,,,,,,,,
2020-02-03,,Mumbai,MH,,,,,,,,,
2020-02-14,,Mumbai,MH,,,,,,,,,
2020-03-02,,Mumbai,MH,,,,,,,,,
2020-03-03,,Mumbai,MH,,,,,,,,,
2020-03-04,,Mumbai,MH,,,,,,,,,
2020-03-05,,Mumbai,MH,,,,,,,,,
2020-03-06,,Mumbai,MH,,,,,,,,,
2020-03-07,,Mumbai,MH,,,,,,,,,
2020-03-08,,Mumbai,MH,,,,,,,,,
2020-03-09,,Mumbai,MH,,,,,,,,,
2020-03-10,,Mumbai,MH,,,,,,,,,
2020-03-11,,Mumbai,MH,,,,,,,,,
2020-03-12,,Mumbai,MH,,,,,,,,,
2020-03-13,,Mumbai,MH,,,,,,,,,
2020-03-14,,Mumbai,MH,,,,,,,,,
2020-03-15,,Mumbai,MH,,,,,,,,,
2020-03-16,,Mumbai,MH,,,,,,,,,
2020-03-17,,Mumbai,MH,,,,,,,,,
2020-03-18,,Mumbai,MH,,,,,,,,,
2020-03-19,,Mumbai,MH,,,,,,,,,
2020-03-20,,Mumbai,MH,,,,,,,,,
2020-03-21,,Mumbai,MH,,,,,,,,,
2020-03-22,,Mumbai,MH,,,,,,,,,
2020-03-23,,Mumbai,MH,,,,,,,,,
2020-03-24,,Mumbai,MH,,,,,,,,,
2020-03-25,,Mumbai,MH,,,,,,,,,
2020-03-26,,Mumbai,MH,,,,,,,,,
2020-03-27,,Mumbai,MH,,,,,,,,,
2020-03-28,,Mumbai,MH,,,,,,,,,
2020-03-29,,Mumbai,MH,,,,,,,,,
2020-03-30,,Mumbai,MH,,,,,,,,,
2020-03-31,,Mumbai,MH,,,,,,,,,
2020-04-01,,Mumbai,MH,,,,,,,,,
2020-04-02,,Mumbai,MH,,,,,,,,,
2020-04-03,,Mumbai,MH,,,,,,,,,
2020-04-04,,Mumbai,MH,,,,,,,,,
2020-04-05,,Mumbai,MH,,,,,,,,,
2020-04-06,,Mumbai,MH,,,,,,,,,
2020-04-07,,Mumbai,MH,,,,,,,,,
2020-04-08,,Mumbai,MH,,,,,,,,,
2020-04-09,,Mumbai,MH,,,,,,,,,
2020-04-10,,Mumbai,MH,,,,,,,,,
2020-04-11,,Mumbai,MH,,,,,,,,,
2020-04-12,,Mumbai,MH,,,,,,,,,
2020-04-13,,Mumbai,MH,,,,,,,,,
2020-04-14,,Mumbai,MH,,,,,,,,,
2020-04-15,,Mumbai,MH,,,,,,,,,
2020-04-16,,Mumbai,MH,,,,,,,,,
2020-04-17,,Mumbai,MH,,,,,,,,,
2020-04-18,,Mumbai,MH,,,,,,,,,
2020-04-19,,Mumbai,MH,,,,,,,,,
2020-04-20,,Mumbai,MH,,,,,,,,,
2020-04-21,,Mumbai,MH,,,,,,,,,
2020-04-22,,Mumbai,MH,,,,,,,,,
2020-04-23,,Mumbai,MH,,,,,,,,,
2020-04-24,,Mumbai,MH,,,,,,,,,
2020-04-25,,Mumbai,MH,,,,,,,,,
2020-04-26,5407.0,Mumbai,MH,204.0,641.0,,,,,,,
2020-04-27,5776.0,Mumbai,MH,219.0,711.0,369.0,15.0,70.0,,,,
2020-04-28,6169.0,Mumbai,MH,244.0,798.0,393.0,25.0,87.0,,,,
2020-04-29,6644.0,Mumbai,MH,270.0,936.0,475.0,26.0,138.0,,,,
2020-04-30,7061.0,Mumbai,MH,290.0,1092.0,417.0,20.0,156.0,,,,
2020-05-01,7812.0,Mumbai,MH,296.0,1134.0,751.0,6.0,42.0,,,,
2020-05-02,8359.0,Mumbai,MH,322.0,1203.0,547.0,26.0,69.0,,,,
2020-05-03,8800.0,Mumbai,MH,343.0,1230.0,441.0,21.0,27.0,,,,
2020-05-04,9310.0,Mumbai,MH,361.0,1395.0,510.0,18.0,165.0,,,,
2020-05-05,9945.0,Mumbai,MH,387.0,1605.0,635.0,26.0,210.0,,,,
2020-05-06,10714.0,Mumbai,MH,412.0,1694.0,769.0,25.0,89.0,,,,
2020-05-07,11394.0,Mumbai,MH,437.0,1793.0,680.0,25.0,99.0,,,,
2020-05-08,12142.0,Mumbai,MH,462.0,1867.0,748.0,25.0,74.0,,,,
2020-05-09,12864.0,Mumbai,MH,489.0,1867.0,722.0,27.0,,,,,
2020-05-10,13739.0,Mumbai,MH,508.0,2296.0,875.0,19.0,429.0,,,,
2020-05-11,14521.0,Mumbai,MH,528.0,2366.0,782.0,20.0,70.0,,,,
2020-05-12,14947.0,Mumbai,MH,556.0,2513.0,426.0,28.0,147.0,,,,
2020-05-13,15747.0,Mumbai,MH,596.0,2739.0,800.0,40.0,226.0,,,,
2020-05-14,16738.0,Mumbai,MH,621.0,2944.0,991.0,25.0,205.0,,,,
2020-05-15,17671.0,Mumbai,MH,655.0,3125.0,933.0,34.0,181.0,,,,
2020-05-16,18555.0,Mumbai,MH,696.0,3260.0,884.0,41.0,135.0,,,,
2020-05-17,20150.0,Mumbai,MH,734.0,3498.0,1595.0,38.0,238.0,,,,
2020-05-18,21335.0,Mumbai,MH,757.0,3730.0,1185.0,23.0,232.0,162000.0,162000.0,,
2020-05-19,22746.0,Mumbai,MH,800.0,4352.0,1411.0,43.0,622.0,,162000.0,,
2020-05-20,24118.0,Mumbai,MH,841.0,4702.0,1372.0,41.0,350.0,,162000.0,,
2020-05-21,25500.0,Mumbai,MH,882.0,5769.0,1382.0,41.0,1067.0,,162000.0,,
2020-05-22,27251.0,Mumbai,MH,909.0,6096.0,1751.0,27.0,327.0,2671.0,164671.0,,
2020-05-23,28817.0,Mumbai,MH,949.0,6381.0,1566.0,40.0,285.0,,164671.0,,
2020-05-24,30542.0,Mumbai,MH,988.0,7083.0,1725.0,39.0,702.0,,164671.0,,
2020-05-25,31972.0,Mumbai,MH,1026.0,7584.0,1430.0,38.0,501.0,10170.0,174841.0,,
2020-05-26,32974.0,Mumbai,MH,1065.0,8013.0,1002.0,39.0,429.0,,174841.0,,
2020-05-27,34018.0,Mumbai,MH,1097.0,8408.0,1044.0,32.0,395.0,10860.0,185701.0,,
2020-05-28,35485.0,Mumbai,MH,1135.0,8650.0,1467.0,38.0,242.0,4266.0,189967.0,,
2020-05-29,36932.0,Mumbai,MH,1173.0,16008.0,1447.0,38.0,7358.0,,189967.0,,
2020-05-30,38442.0,Mumbai,MH,1227.0,16364.0,1510.0,54.0,356.0,,189967.0,,
2020-05-31,39686.0,Mumbai,MH,1279.0,16791.0,1244.0,52.0,427.0,,189967.0,,
2020-06-01,41099.0,Mumbai,MH,1319.0,16985.0,1413.0,40.0,194.0,11540.0,201507.0,,
2020-06-02,42216.0,Mumbai,MH,1368.0,17213.0,1117.0,49.0,228.0,,201507.0,,
2020-06-03,43492.0,Mumbai,MH,1417.0,17472.0,1276.0,49.0,259.0,10574.0,212081.0,,
2020-06-04,44931.0,Mumbai,MH,1465.0,18096.0,1439.0,48.0,624.0,3748.0,215829.0,,
2020-06-05,46080.0,Mumbai,MH,1519.0,18778.0,1149.0,54.0,682.0,,215829.0,,
2020-06-06,47354.0,Mumbai,MH,1577.0,19977.0,1274.0,58.0,1199.0,,215829.0,,
2020-06-07,48774.0,Mumbai,MH,1638.0,21190.0,1420.0,61.0,1213.0,,215829.0,,
