Ward_Name,Total_Positive_Cases,Total_Discharged,Total_Deaths,Total_Active
KE,8370,7072,521,777
PN,8144,7006,354,784
GN,7926,6520,487,919
KW,7574,6346,314,914
RC,7408,5659,262,1487
S,7371,6108,460,803
N,6922,5890,400,632
RS,6532,5309,215,1008
FS,6304,5249,360,695
T,5865,4908,168,789
GS,5853,4938,399,516
L,5831,4768,438,625
D,5716,4642,231,843
E,5395,4354,292,749
FN,5271,4370,298,603
ME,4677,3853,310,514
HE,4636,3764,352,520
PS,4557,3641,234,682
MW,4041,3263,292,486
HW,3802,3012,189,601
RN,3548,2780,149,619
A,3365,2775,70,520
C,1917,1560,101,256
B,1195,957,90,148
